,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
59,,"Peter Prentice","2023-01-04 08:14:11",1,no,no,"trump sitting on the fence . . . what a wimp",UCbZQBTIeYy_-p6vMIzGafdA,UgzCyXX30svITYsdacV4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=UgzCyXX30svITYsdacV4AaABAg
60,,"Chris Chang","2023-01-04 08:18:30",0,no,no,"Why are they feeding trump’s ego by asking if he supports McCarthy",UCtLfigq5y5wQA0ivVlqx_mA,UgyyiYOJxL6KoEEd5wR4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=UgyyiYOJxL6KoEEd5wR4AaABAg
61,,"Cecile Povich","2023-01-04 08:27:51",0,no,no,"Exactly what should happen.",UChHyXwum0-NEEafcB6eYCbA,Ugy7O1BYgUvKdqeqEkt4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=Ugy7O1BYgUvKdqeqEkt4AaABAg
62,,"Cecile Povich","2023-01-04 08:32:20",0,no,no,"So,now,the speaker of the house is a descendant of slaves? I'm so glad that things are where they belong,at long last.This is how ancestors speak.listen carefully.",UChHyXwum0-NEEafcB6eYCbA,UgzCfW0nC4aZatepwXl4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=UgzCfW0nC4aZatepwXl4AaABAg
63,,"Francis Fernandes","2023-01-04 08:36:08",0,no,no,"trump ; who is kavin Mccarthy ...???",UCmRNOiMpiHsaUybomJ86H0A,UgwITEReFZthUZ7pAQJ4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=UgwITEReFZthUZ7pAQJ4AaABAg
64,,"Abimbola Owolabi","2023-01-04 08:45:07",0,no,no,"Trump is planning all these to become Speaker.",UCH-i4XqZDzVPsefq7AWX8uQ,UgxrxKvIVZpo7K9wZ_d4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=UgxrxKvIVZpo7K9wZ_d4AaABAg
65,,"No Name","2023-01-04 08:48:42",1,no,no,"Lol this is what happens when you appoint a narcissist as your party leader lol",UC0_eN93e0kLF5DKl3HlNtwg,UgwczEIKHWkpIztRSjV4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=UgwczEIKHWkpIztRSjV4AaABAg
66,,"54 MGTF","2023-01-04 08:50:49",0,no,no,"The mango moron is a wonderful party man. What’s best for the party, and the country, is the moron’s last move.",UCI4eFGu_Jmk-i5BcPYhTRDA,Ugz5Uo__EZ8oEN_rCk54AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=Ugz5Uo__EZ8oEN_rCk54AaABAg
67,,"Richard Quick II","2023-01-04 08:54:58",2,no,no,"McCarthy asked Trump to call Brad Raffensperger to try and get him 20 votes... Only one more than he has, and a lot less than the 11,780 votes they needed last time.",UCPGYGWK-0xGEczUrooQX6hg,Ugwmkho-d6fkKcm2vW54AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=Ugwmkho-d6fkKcm2vW54AaABAg
68,,"Jimmy TheBold","2023-01-04 08:55:04",0,no,no,"this  is hilarious. loving it. need more popcorn. finally a news item about trump or maga that doesn't make me feel concerned...",UC_vcdrFD192lzHh4rjmjKBA,UgzXz-1tHTSARJ3n7-V4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=UgzXz-1tHTSARJ3n7-V4AaABAg
69,,"Jimmy TheBold","2023-01-04 08:57:07",0,no,no,"so, mtg wasn't able to get the support for mccarthy.",UC_vcdrFD192lzHh4rjmjKBA,UgwWbltvWjKNviRMlbp4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=UgwWbltvWjKNviRMlbp4AaABAg
70,,"Eve Queen","2023-01-04 08:59:40",0,no,no,"I've listened to a lot of coverage and this  particular analyst was spot on",UC02kiUcYoGeS82v2sFnR75Q,Ugw5ngQQCdJfzuYZAvh4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=Ugw5ngQQCdJfzuYZAvh4AaABAg
71,,"Richard Quick II","2023-01-04 09:02:15",0,no,no,"This is proof that Republicans rig elections. If it were not for the election fraud, Kevin McCarthy would have won the first vote.",UCPGYGWK-0xGEczUrooQX6hg,UgycX4YN2i4x8vLEsjJ4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=UgycX4YN2i4x8vLEsjJ4AaABAg
